"REGIONE";"COLLEGIO";"PROVINCIA";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"SAN LORENZO IN BANALE";"817";;"674";"338";"23";"IL POPOLO DELLA LIBERTA'";"221"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"BEDOLLO";"1059";;"911";"470";"20";"LA SINISTRA L'ARCOBALENO";"36"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"RUMO";"587";;"496";"257";"20";"SVP - INSIEME PER LE AUTONOMIE";"201"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"SAGRON MIS";"167";;"138";"67";"1";"SVP - INSIEME PER LE AUTONOMIE";"71"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"SAMONE";"374";;"337";"164";"9";"SVP - INSIEME PER LE AUTONOMIE";"182"
"TRENTINO ALTO ADIGE";"ROVERETO";"TRENTO";"SAN LORENZO IN BANALE";"817";;"674";"338";"23";"SVP - INSIEME PER LE AUTONOMIE";"279"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"SAN MICHELE ALL'ADIGE";"1718";;"1477";"727";"40";"SVP - INSIEME PER LE AUTONOMIE";"543"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"SANT'ORSOLA TERME";"691";;"573";"278";"14";"SVP - INSIEME PER LE AUTONOMIE";"227"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"SANZENO";"662";;"566";"296";"19";"SVP - INSIEME PER LE AUTONOMIE";"178"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"SARNONICO";"479";;"413";"205";"20";"SVP - INSIEME PER LE AUTONOMIE";"141"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"SCURELLE";"963";;"827";"401";"31";"SVP - INSIEME PER LE AUTONOMIE";"379"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"SEGONZANO";"1010";;"846";"418";"16";"SVP - INSIEME PER LE AUTONOMIE";"321"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"SFRUZ";"234";;"205";"105";"6";"SVP - INSIEME PER LE AUTONOMIE";"68"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"SIROR";"909";;"782";"382";"18";"SVP - INSIEME PER LE AUTONOMIE";"255"
"TRENTINO ALTO ADIGE";"TRENTO";"TRENTO";"SMARANO";"303";;"270";"135";"6";"SVP - INSIEME PER LE AUTONOMIE";"72"
"TRENTINO ALTO ADIGE";"PERGINE VALSUGANA";"TRENTO";"SORAGA";"445";;"392";"197";"14";"SVP - INSIEME PER LE AUTONOMIE";"90"
