"REGIONE";"LISTA";"VOTILISTA";"SEGGILISTA"
"FRIULI-VENEZIA GIULIA";"PER UNA SINISTRA RIVOLUZIONARIA";1637,00;0,00
"FRIULI-VENEZIA GIULIA";"LISTA DEL POPOLO PER LA COSTITUZIONE";1023,00;0,00
"FRIULI-VENEZIA GIULIA";"PATTO PER L'AUTONOMIA";5015,00;0,00
"FRIULI-VENEZIA GIULIA";"SIAMO";1402,00;0,00
"FRIULI-VENEZIA GIULIA";"RINASCIMENTO MIR";552,00;0,00
"LIGURIA";"LEGA";164831,00;1,00
"LIGURIA";"FORZA ITALIA";101949,00;1,00
"LIGURIA";"FRATELLI D'ITALIA CON GIORGIA MELONI";29100,00;0,00
"LIGURIA";"NOI CON L'ITALIA - UDC";6922,00;0,00
"LIGURIA";"MOVIMENTO 5 STELLE";237964,00;2,00
"LIGURIA";"PARTITO DEMOCRATICO";164211,00;1,00
"LIGURIA";"+EUROPA";25743,00;0,00
"LIGURIA";"ITALIA EUROPA INSIEME";4559,00;0,00
"LIGURIA";"CIVICA POPOLARE LORENZIN";2842,00;0,00
"LIGURIA";"LIBERI E UGUALI";33354,00;0,00
"LIGURIA";"POTERE AL POPOLO!";10487,00;0,00
"LIGURIA";"CASAPOUND ITALIA";7377,00;0,00
"LIGURIA";"IL POPOLO DELLA FAMIGLIA";4122,00;0,00
"LIGURIA";"PARTITO COMUNISTA";5655,00;0,00
"LIGURIA";"PARTITO VALORE UMANO";2041,00;0,00
"LIGURIA";"PER UNA SINISTRA RIVOLUZIONARIA";1335,00;0,00
"LIGURIA";"PARTITO REPUBBLICANO ITALIANO - ALA";709,00;0,00
"EMILIA-ROMAGNA";"LEGA";456577,00;3,00
"EMILIA-ROMAGNA";"FORZA ITALIA";239068,00;2,00
"EMILIA-ROMAGNA";"FRATELLI D'ITALIA CON GIORGIA MELONI";78523,00;0,00
"EMILIA-ROMAGNA";"NOI CON L'ITALIA - UDC";13530,00;0,00
"EMILIA-ROMAGNA";"MOVIMENTO 5 STELLE";636166,00;4,00
"EMILIA-ROMAGNA";"PARTITO DEMOCRATICO";621521,00;4,00
"EMILIA-ROMAGNA";"+EUROPA";67795,00;0,00
"EMILIA-ROMAGNA";"ITALIA EUROPA INSIEME";17807,00;0,00
"EMILIA-ROMAGNA";"CIVICA POPOLARE LORENZIN";12771,00;0,00
"EMILIA-ROMAGNA";"LIBERI E UGUALI";111791,00;1,00
"EMILIA-ROMAGNA";"POTERE AL POPOLO!";26275,00;0,00
"EMILIA-ROMAGNA";"CASAPOUND ITALIA";14212,00;0,00
"EMILIA-ROMAGNA";"IL POPOLO DELLA FAMIGLIA";16465,00;0,00
"EMILIA-ROMAGNA";"ITALIA AGLI ITALIANI";11549,00;0,00
"EMILIA-ROMAGNA";"PARTITO COMUNISTA";21375,00;0,00
"EMILIA-ROMAGNA";"PER UNA SINISTRA RIVOLUZIONARIA";4326,00;0,00
"EMILIA-ROMAGNA";"PARTITO REPUBBLICANO ITALIANO - ALA";6366,00;0,00
"EMILIA-ROMAGNA";"DESTRE UNITE - FORCONI";4460,00;0,00
"TOSCANA";"LEGA";349958,00;2,00
"TOSCANA";"FORZA ITALIA";201535,00;1,00
"TOSCANA";"FRATELLI D'ITALIA CON GIORGIA MELONI";78256,00;1,00
"TOSCANA";"NOI CON L'ITALIA - UDC";11256,00;0,00
"TOSCANA";"MOVIMENTO 5 STELLE";484366,00;3,00
"TOSCANA";"PARTITO DEMOCRATICO";607142,00;4,00
"TOSCANA";"+EUROPA";51992,00;0,00
"TOSCANA";"ITALIA EUROPA INSIEME";12601,00;0,00
"TOSCANA";"CIVICA POPOLARE LORENZIN";7785,00;0,00
"TOSCANA";"LIBERI E UGUALI";89503,00;0,00
"TOSCANA";"POTERE AL POPOLO!";35317,00;0,00
"TOSCANA";"CASAPOUND ITALIA";16952,00;0,00
